,dt,from_time,to_time,jaggedness,area,score
76,2022/05/16,00:00:00,23:59:59,45.26137225855664,0.1829188300009364,0.004041389398359562
184,2022/09/01,00:00:00,23:59:59,20.28146778357804,0.0818471969788299,0.004035565761423924
261,2022/11/17,00:00:00,23:59:59,16.509269103901563,0.06624147225399,0.004012380671554711
232,2022/10/19,00:00:00,23:59:59,56.48653539964864,0.2265051153428475,0.004009895698865193
191,2022/09/08,00:00:00,23:59:59,64.32827475202139,0.2438296259487263,0.003790395854523744
198,2022/09/15,00:00:00,23:59:59,51.29160887709135,0.1934908036518127,0.003772367603353393
234,2022/10/21,00:00:00,23:59:59,59.248173962199736,0.2226417722037809,0.0037577828532880373
22,2022/03/23,00:00:00,23:59:59,18.25563922517447,0.0673543002348199,0.003689506535708623
194,2022/09/11,00:00:00,23:59:59,49.47913222065928,0.1809302971426708,0.0036566990774168436
20,2022/03/21,00:00:00,23:59:59,44.57701453517763,0.161140988827638,0.0036148896579979517
207,2022/09/24,00:00:00,23:59:59,63.86069141016218,0.2213242310522362,0.0034657349641068367
187,2022/09/04,00:00:00,23:59:59,61.21573081682839,0.2101168100915446,0.0034323989485686717
246,2022/11/02,00:00:00,23:59:59,61.9342076256865,0.2103314334076828,0.003396046247638603
69,2022/05/09,00:00:00,23:59:59,19.672712167379416,0.066044170927149,0.0033571462015624396
107,2022/06/16,00:00:00,23:59:59,67.8002996008745,0.224127029747829,0.003305693795856592
240,2022/10/27,00:00:00,23:59:59,35.40542977780194,0.1156751739017899,0.003267159151230371
263,2022/11/19,00:00:00,23:59:59,22.848140755920976,0.071043937437473,0.0031093968737505406
106,2022/06/15,00:00:00,23:59:59,40.75002909435928,0.1242836222729501,0.003049902663508865
98,2022/06/07,00:00:00,23:59:59,96.22163693952724,0.2837729784386365,0.0029491597468559007
259,2022/11/15,00:00:00,23:59:59,60.42948989169847,0.1759852082357162,0.002912240506267987
224,2022/10/11,00:00:00,23:59:59,72.07636796224868,0.2096772033132364,0.0029090977978116026
197,2022/09/14,00:00:00,23:59:59,75.4126162363478,0.2165490494057734,0.002871522832825416
241,2022/10/28,00:00:00,23:59:59,64.07099505495844,0.1796533540474623,0.00280397321585782
196,2022/09/13,00:00:00,23:59:59,54.6020015501807,0.150520432276031,0.0027566834182387746
183,2022/08/31,00:00:00,23:59:59,70.09932870595547,0.1921910164844902,0.002741695534498922
204,2022/09/21,00:00:00,23:59:59,75.75451263199969,0.2071567626594929,0.002734579835076217
53,2022/04/23,00:00:00,23:59:59,29.99937688638967,0.0813941295877767,0.0027131940071963346
220,2022/10/07,00:00:00,23:59:59,12.389441745145698,0.0333269389650238,0.002689946782959903
195,2022/09/12,00:00:00,23:59:59,86.26355255959675,0.2313967842029062,0.0026824397713395994
18,2022/03/19,00:00:00,23:59:59,44.489900503840936,0.1192053737675844,0.002679380542945765
190,2022/09/07,00:00:00,23:59:59,94.68756026638088,0.2529239958555506,0.002671142810565709
189,2022/09/06,00:00:00,23:59:59,47.36893202796414,0.1183794279658644,0.002499094298684618
51,2022/04/21,00:00:00,23:59:59,19.13050617251935,0.0468552954618706,0.0024492449410030478
235,2022/10/22,00:00:00,23:59:59,72.7223309834652,0.1778171000158438,0.002445151270746174
217,2022/10/04,00:00:00,23:59:59,79.57968672743226,0.1937999254527345,0.0024352938975057423
77,2022/05/17,00:00:00,23:59:59,101.5195782922581,0.2451388965896963,0.0024146957731047886
200,2022/09/17,00:00:00,23:59:59,48.86087375954475,0.117492152810232,0.0024046265195427543
238,2022/10/25,00:00:00,23:59:59,98.87683034440832,0.2246190229045048,0.0022717053340212323
230,2022/10/17,00:00:00,23:59:59,19.577564166610514,0.0427182386766027,0.002181999676418303
257,2022/11/13,00:00:00,23:59:59,38.85924351809678,0.0809470824382924,0.0020830843606256845
102,2022/06/11,00:00:00,23:59:59,25.28837395523003,0.052418281022373,0.0020728213334385657
188,2022/09/05,00:00:00,23:59:59,101.55262070439234,0.2104258021502223,0.002072086379363334
